epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1483.49,1.69399,1.90425,0.99219,0.30705,0.20632,0.16459,0.08926,1.55268,1.30926,0.94684,0.000236828,0.000236828,0.000236828
2,1532.08,1.59724,1.23239,0.94066,0.34888,0.27414,0.2307,0.12714,1.52201,1.16752,0.92591,0.000465426,0.000465426,0.000465426
3,1583.95,1.57473,1.18239,0.93168,0.34866,0.27074,0.2272,0.12599,1.55002,1.18334,0.92764,0.0006846,0.0006846,0.0006846
4,1633.16,1.56946,1.16014,0.9269,0.36605,0.27796,0.23456,0.13069,1.49758,1.14626,0.92368,0.000671588,0.000671588,0.000671588
5,1684.91,1.55088,1.13296,0.92393,0.41288,0.30524,0.27518,0.15474,1.45208,1.08291,0.91188,0.000657451,0.000657451,0.000657451
6,1736.81,1.5361,1.10559,0.91633,0.41991,0.32216,0.29168,0.16191,1.46612,1.05908,0.91183,0.000643314,0.000643314,0.000643314
7,1787.94,1.5126,1.08,0.91279,0.40575,0.3216,0.28928,0.16235,1.45283,1.04723,0.9102,0.000629177,0.000629177,0.000629177
8,1839.59,1.4969,1.06343,0.90936,0.43096,0.32645,0.29456,0.1642,1.4319,1.02899,0.90268,0.00061504,0.00061504,0.00061504
9,1891.35,1.48285,1.04797,0.90798,0.44229,0.33559,0.30825,0.17381,1.42194,1.02215,0.90414,0.000600902,0.000600902,0.000600902
10,1942.68,1.4836,1.0384,0.90572,0.45066,0.34851,0.32496,0.18382,1.41074,0.9963,0.90105,0.000586765,0.000586765,0.000586765
11,1994.71,1.47183,1.02791,0.90253,0.46501,0.32429,0.31182,0.1742,1.42294,1.0234,0.90466,0.000572628,0.000572628,0.000572628
12,2044.49,1.45688,1.00899,0.9002,0.43653,0.35285,0.32664,0.18292,1.4028,1.00586,0.89596,0.000558491,0.000558491,0.000558491
13,2093.96,1.44713,1.00129,0.89977,0.4552,0.34152,0.31821,0.18032,1.4098,1.01394,0.89962,0.000544354,0.000544354,0.000544354
14,2143.2,1.4426,0.99459,0.89764,0.48683,0.35448,0.33772,0.18698,1.39512,0.9841,0.89328,0.000530216,0.000530216,0.000530216
15,2195.02,1.44415,0.99008,0.89427,0.47031,0.35183,0.33503,0.1914,1.3863,0.98471,0.8941,0.000516079,0.000516079,0.000516079
