epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.4453,1.66129,1.73296,1.01034,0.30703,0.24297,0.18981,0.10477,1.52999,1.19528,0.95506,0.000236828,0.000236828,0.000236828
2,149.909,1.58859,1.20045,0.96654,0.34606,0.25911,0.21832,0.11955,1.50815,1.14054,0.94009,0.000465426,0.000465426,0.000465426
3,214.022,1.57311,1.1538,0.95984,0.37887,0.26397,0.22695,0.12589,1.52984,1.1525,0.9426,0.0006846,0.0006846,0.0006846
4,278.135,1.57182,1.13466,0.95666,0.38001,0.29255,0.25852,0.14321,1.49157,1.09571,0.93794,0.000671588,0.000671588,0.000671588
5,342.392,1.55374,1.10713,0.95279,0.40474,0.29141,0.25869,0.14262,1.51172,1.0862,0.93678,0.000657451,0.000657451,0.000657451
6,406.265,1.5365,1.08797,0.94423,0.43125,0.30906,0.28333,0.1553,1.47296,1.0283,0.93312,0.000643314,0.000643314,0.000643314
7,470.06,1.51424,1.05585,0.94001,0.43634,0.31394,0.30004,0.16658,1.45253,1.01321,0.9312,0.000629177,0.000629177,0.000629177
8,533.917,1.5025,1.04463,0.93683,0.46095,0.3155,0.29202,0.16363,1.45237,1.02247,0.92614,0.00061504,0.00061504,0.00061504
9,597.801,1.48653,1.02786,0.9357,0.45229,0.32425,0.30475,0.17075,1.44427,0.99581,0.92488,0.000600902,0.000600902,0.000600902
10,661.66,1.48612,1.01859,0.93298,0.45733,0.33877,0.31965,0.1798,1.40083,0.9764,0.91637,0.000586765,0.000586765,0.000586765
11,725.477,1.4709,1.00546,0.92996,0.44809,0.33184,0.30898,0.17288,1.41348,0.99255,0.91587,0.000572628,0.000572628,0.000572628
12,789.227,1.45882,0.98963,0.92688,0.45945,0.33282,0.31884,0.17938,1.40403,0.97134,0.91253,0.000558491,0.000558491,0.000558491
13,853.13,1.4509,0.98121,0.92664,0.45614,0.32811,0.31437,0.1781,1.4102,0.98777,0.91627,0.000544354,0.000544354,0.000544354
14,917.227,1.44529,0.97359,0.92431,0.47547,0.34869,0.33023,0.18383,1.3937,0.9712,0.9103,0.000530216,0.000530216,0.000530216
15,981.29,1.44837,0.96896,0.92207,0.47342,0.35427,0.33561,0.19277,1.37762,0.94498,0.90881,0.000516079,0.000516079,0.000516079
16,1045.53,1.44183,0.95783,0.91738,0.45515,0.3546,0.33286,0.18967,1.38422,0.95312,0.91312,0.000501942,0.000501942,0.000501942
17,1109.27,1.43096,0.94991,0.91744,0.48773,0.35457,0.34153,0.19275,1.38814,0.94563,0.90694,0.000487805,0.000487805,0.000487805
18,1173.63,1.42355,0.94045,0.91454,0.48159,0.35234,0.3432,0.19443,1.36998,0.93093,0.90569,0.000473668,0.000473668,0.000473668
19,1237.68,1.41657,0.93493,0.91345,0.48118,0.35946,0.34957,0.20116,1.35982,0.92283,0.90744,0.00045953,0.00045953,0.00045953
20,1301.51,1.41111,0.92708,0.91312,0.47204,0.36257,0.3448,0.19599,1.36962,0.92759,0.90643,0.000445393,0.000445393,0.000445393
21,1365.65,1.4143,0.93007,0.91331,0.48156,0.35298,0.34235,0.19526,1.36781,0.93381,0.90642,0.000431256,0.000431256,0.000431256
22,1429.74,1.40573,0.91917,0.91074,0.49064,0.36408,0.35124,0.20219,1.35308,0.92052,0.90319,0.000417119,0.000417119,0.000417119
23,1494.42,1.40025,0.91362,0.90785,0.49083,0.36499,0.35191,0.20173,1.34964,0.92343,0.90036,0.000402982,0.000402982,0.000402982
24,1558.26,1.40385,0.90957,0.90666,0.49472,0.36394,0.35417,0.20192,1.35582,0.91869,0.90259,0.000388844,0.000388844,0.000388844
25,1622.42,1.39495,0.90142,0.90601,0.48652,0.36275,0.35103,0.20054,1.35806,0.91802,0.90505,0.000374707,0.000374707,0.000374707
26,1686.57,1.38969,0.90297,0.90512,0.49847,0.36395,0.35515,0.20363,1.35043,0.90958,0.90189,0.00036057,0.00036057,0.00036057
27,1750.38,1.38583,0.89189,0.90397,0.50411,0.37293,0.36612,0.20982,1.33612,0.90014,0.89663,0.000346433,0.000346433,0.000346433
28,1814.12,1.37984,0.88243,0.90429,0.47992,0.3677,0.35341,0.2035,1.34689,0.90943,0.8994,0.000332296,0.000332296,0.000332296
29,1878.42,1.3721,0.87542,0.90073,0.50227,0.36712,0.36313,0.20956,1.34217,0.90501,0.90003,0.000318158,0.000318158,0.000318158
30,1942.24,1.37298,0.87466,0.90353,0.5079,0.37327,0.36548,0.21068,1.33266,0.89258,0.89704,0.000304021,0.000304021,0.000304021
